Name,Price,Rating
Godrej 180 L Direct Cool Single Door 3 Star Refrigerator,"₹13,990",4.3
Godrej 670 L Frost Free French Door Bottom Mount Refrigerator,"₹84,990",N/A
LG 185 L Direct Cool Single Door 5 Star Refrigerator,"₹17,690",4.5
SAMSUNG 236 L Frost Free Double Door 3 Star Refrigerator,"₹25,990",4.4
SAMSUNG 236 L Frost Free Double Door 2 Star Refrigerator  with Digital Inverter,"₹22,890",4.4
SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,690",4.4
LG 242 L Frost Free Double Door 3 Star Refrigerator  with Smart Inverter,"₹25,990",4.4
Godrej 670 L Frost Free French Door Bottom Mount Refrigerator,"₹86,490",N/A
SAMSUNG 189 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,890",4.5
SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹14,890",4.4
Godrej 223 L Frost Free Double Door 2 Star Refrigerator,"₹21,490",4.1
Godrej 210 L Frost Free Double Door 2 Star Refrigerator,"₹20,490",4.3
SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹14,490",4.4
SAMSUNG 183 L Direct Cool Single Door 2 Star Refrigerator  with Digital Inverter,"₹13,790",4.4
Whirlpool 184 L Direct Cool Single Door 2 Star Refrigerator,"₹12,390",4.3
SAMSUNG 189 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,290",4.5
Godrej 223 L Frost Free Double Door 3 Star Convertible Refrigerator,"₹22,990",4.1
Godrej 244 L Frost Free Double Door Top Mount 3 Star Convertible Refrigerator,"₹24,990",3.9
SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,690",4.4
Whirlpool 184 L Direct Cool Single Door 2 Star Refrigerator,"₹13,590",4.3
Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,"₹17,690",3.9
Whirlpool 192 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹17,290",4.3
Whirlpool 240 L Frost Free Triple Door Refrigerator,"₹25,790",4.4
SAMSUNG 183 L Direct Cool Single Door 2 Star Refrigerator  with Digital Inverter,"₹13,990",4.2
