Name,Price,Rating
"realme C53 (Champion Gold, 64 GB)","₹10,999",4.6
"realme C53 (Champion Black, 64 GB)","₹10,999",4.6
"realme C53 (Champion Gold, 128 GB)","₹9,999",4.2
"realme C53 (Champion Black, 128 GB)","₹9,999",4.2
"realme C55 (Rainforest, 128 GB)","₹13,999",4.4
"realme C55 (Rainforest, 64 GB)","₹10,999",4.4
"realme C55 (Rainforest, 64 GB)","₹11,999",4.3
"realme 10 (Clash White, 128 GB)","₹14,999",4.3
"realme 10 (Rush Black, 128 GB)","₹14,999",4.3
"realme C55 (Sunshower, 64 GB)","₹10,999",4.4
"realme C55 (Rainy Night, 64 GB)","₹10,999",4.4
"realme 10 (Rush Black, 64 GB)","₹11,499",4.2
"realme C55 (Sunshower, 128 GB)","₹13,999",4.4
"realme C30 (Denim Black, 32 GB)","₹5,999",4.2
"realme C55 (Sunshower, 64 GB)","₹11,999",4.3
"realme C55 (Rainy Night, 64 GB)","₹11,999",4.3
"realme C30 (Bamboo Green, 32 GB)","₹6,499",4.1
"realme C55 (Rainy Night, 128 GB)","₹13,999",4.4
"realme 10 (Clash White, 64 GB)","₹11,499",4.2
"realme C30 (Denim Black, 32 GB)","₹6,499",4.1
"realme C30 (Lake Blue, 32 GB)","₹6,499",4.1
"realme 10 Pro 5G (Dark Matter, 128 GB)","₹19,999",4.3
"realme 10 Pro 5G (Hyperspace, 128 GB)","₹18,999",4.3
"realme 10 Pro 5G (Nebula Blue, 128 GB)","₹19,999",4.3
